<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2000.01.03	00:00:00	1.00730	1.01900	1.00730	1.01150	3010	0	50
2000.01.03	12:00:00	1.01180	1.02780	1.00540	1.02460	3632	0	50
2000.01.04	00:00:00	1.02430	1.02790	1.02130	1.02760	3542	0	50
2000.01.04	12:00:00	1.02740	1.03400	1.02630	1.02920	3797	0	50
2000.01.05	00:00:00	1.02930	1.04020	1.02840	1.03700	3053	0	50
2000.01.05	12:00:00	1.03660	1.03890	1.03010	1.03260	3517	0	50
2000.01.06	00:00:00	1.03250	1.03820	1.03100	1.03520	3421	0	50
2000.01.06	12:00:00	1.03540	1.04150	1.02720	1.03300	3802	0	50
2000.01.07	00:00:00	1.03290	1.03320	1.02830	1.03060	2831	0	50
2000.01.07	12:00:00	1.03050	1.03150	1.02600	1.02980	2858	0	50
2000.01.10	00:00:00	1.02860	1.03050	1.02310	1.02470	2950	0	50
2000.01.10	12:00:00	1.02450	1.02750	1.02110	1.02510	3247	0	50
2000.01.11	00:00:00	1.02530	1.03180	1.02460	1.03010	2979	0	50
2000.01.11	12:00:00	1.02990	1.03410	1.02530	1.03360	3658	0	50
2000.01.12	00:00:00	1.03370	1.03700	1.03190	1.03350	3392	0	50
2000.01.12	12:00:00	1.03280	1.03380	1.02610	1.03080	3485	0	50
2000.01.13	00:00:00	1.03090	1.03160	1.02780	1.03020	2933	0	50
2000.01.13	12:00:00	1.03040	1.03050	1.02370	1.02600	3243	0	50
2000.01.14	00:00:00	1.02610	1.02750	1.02290	1.02590	2798	0	50
2000.01.14	12:00:00	1.02580	1.02610	1.01140	1.01220	3378	0	50
2000.01.17	00:00:00	1.01290	1.01480	1.00960	1.01230	2362	0	50
2000.01.17	12:00:00	1.01190	1.01280	1.00690	1.01190	3319	0	50
2000.01.18	00:00:00	1.01180	1.01420	1.00720	1.00810	3289	0	50
2000.01.18	12:00:00	1.00810	1.01540	1.00720	1.01520	3448	0	50
2000.01.19	00:00:00	1.01520	1.01650	1.01030	1.01030	3490	0	50
2000.01.19	12:00:00	1.01020	1.01350	1.00850	1.01250	2879	0	50
2000.01.20	00:00:00	1.01260	1.01440	1.00820	1.00950	2934	0	50
2000.01.20	12:00:00	1.00940	1.01880	1.00730	1.01670	3869	0	50
2000.01.21	00:00:00	1.01680	1.01930	1.01360	1.01450	4181	0	50
2000.01.21	12:00:00	1.01500	1.01530	1.00500	1.00870	3489	0	50
