,high error,low error,close error,0
3121,291.140625,80.8310546875,124.81933593748545,124.81933593748545
3122,402.9970703125,32.75390625,219.8740234375,219.8740234375
3123,471.2978515625,127.7958984375,274.2783203125,274.2783203125
3124,232.146484375,331.05859375,152.1044921875,152.1044921875
3125,12.483398437514552,201.32421875,46.1240234375,46.1240234375
3126,415.1181640625,159.3291015625,397.0830078125,397.0830078125
3127,191.74023437501455,85.62597656248545,77.64160156251455,77.64160156251455
3128,426.677734375,78.91699218751455,205.220703125,205.220703125
3129,225.484375,146.17968749998545,6.460937500014552,6.460937500014552
3130,212.001953125,197.08789062501455,116.3837890625,116.3837890625
3131,288.923828125,110.91699218751455,96.5576171875,96.5576171875
3132,547.0761718749854,14.728515625,368.37499999998545,368.37499999998545
3133,72.16992187498545,5.349609375,73.66015625,73.66015625
3134,502.5302734375,69.2626953125,153.19726562501455,153.19726562501455
3135,170.0234375,42.775390625,178.3564453125,178.3564453125
3136,26.422851562514552,595.3496093750146,386.8681640625,386.8681640625
3137,41.5869140625,220.435546875,22.285156250014552,22.285156250014552
3138,40.7373046875,206.8662109375,130.4853515625,130.4853515625
3139,131.3994140625,181.8525390625,83.2978515625,83.2978515625
3140,155.7763671875,94.36035156251455,112.212890625,112.212890625
3141,25.623046875,217.5224609375,73.935546875,73.935546875
3142,355.56640625,110.884765625,282.39550781251455,282.39550781251455
3143,144.1513671875,158.2548828125,154.005859375,154.005859375
3144,16.867187499985448,52.384765625,194.42382812498545,194.42382812498545
3145,118.71679687498545,341.67578125,95.07617187501455,95.07617187501455
3146,174.16406250001455,282.19824218748545,98.6845703125,98.6845703125
3147,93.5302734375,395.9482421875,250.3525390625,250.3525390625
3148,339.3603515625,142.0361328125,85.0986328125,85.0986328125
3149,216.17675781248545,93.142578125,66.81542968748545,66.81542968748545
3150,270.48242187501455,12.597656249985448,222.2158203125,222.2158203125
3151,149.76953125,192.8603515625,200.712890625,200.712890625
3152,325.015625,86.22363281248545,222.97460937501455,222.97460937501455
3153,208.49707031251455,33.5146484375,7.2333984375,7.2333984375
3154,816.4697265625,29.9931640625,774.6591796875146,774.6591796875146
3155,171.83447265625,201.10156249998545,47.36328124998545,47.36328124998545
3156,68.79541015623545,29.896484375,127.134765625,127.134765625
3157,543.2114257812354,158.8740234375,145.00195312498545,145.00195312498545
3158,169.31201171873545,235.0556640625,332.9794921875,332.9794921875
3159,170.5576171875,131.7431640625,173.740234375,173.740234375
3160,174.4375,90.8486328125,220.6494140625,220.6494140625
3161,108.73046875,119.43359375001455,0.3505859375,0.3505859375
3162,195.62890625,197.40234374998545,110.35058593748545,110.35058593748545
3163,83.36914062501455,133.3232421875,213.78027343751455,213.78027343751455
3164,95.4384765625,131.212890625,34.91015625001455,34.91015625001455
