,last open10,last high10,last low10,last open9,last high9,last low9,last open8,last high8,last low8,last open7,last high7,last low7,last open6,last high6,last low6,last open5,last high5,last low5,last open4,last high4,last low4,last open3,last high3,last low3,last open2,last high2,last low2,last open1,last high1,last low1,last open,last high,last low,Open,High,Low,Close
20,1.372,1.37714,1.36888,1.37499,1.37521,1.36239,1.36206,1.36415,1.36058,1.36321,1.37274,1.36175,1.37197,1.3724,1.36636,1.3671,1.37099,1.36363,1.36625,1.37063,1.36478,1.37024,1.38178,1.36811,1.3786,1.38387,1.3786,1.38176,1.38386,1.37764,1.38098,1.38132,1.37314,1.37526,1.38259,1.37185,1.37993
21,1.37499,1.37521,1.36239,1.36206,1.36415,1.36058,1.36321,1.37274,1.36175,1.37197,1.3724,1.36636,1.3671,1.37099,1.36363,1.36625,1.37063,1.36478,1.37024,1.38178,1.36811,1.3786,1.38387,1.3786,1.38176,1.38386,1.37764,1.38098,1.38132,1.37314,1.37526,1.38259,1.37185,1.37984,1.38167,1.36533,1.36624
22,1.36206,1.36415,1.36058,1.36321,1.37274,1.36175,1.37197,1.3724,1.36636,1.3671,1.37099,1.36363,1.36625,1.37063,1.36478,1.37024,1.38178,1.36811,1.3786,1.38387,1.3786,1.38176,1.38386,1.37764,1.38098,1.38132,1.37314,1.37526,1.38259,1.37185,1.37984,1.38167,1.36533,1.36655,1.37049,1.36406,1.36907
23,1.36321,1.37274,1.36175,1.37197,1.3724,1.36636,1.3671,1.37099,1.36363,1.36625,1.37063,1.36478,1.37024,1.38178,1.36811,1.3786,1.38387,1.3786,1.38176,1.38386,1.37764,1.38098,1.38132,1.37314,1.37526,1.38259,1.37185,1.37984,1.38167,1.36533,1.36655,1.37049,1.36406,1.36887,1.36936,1.3678,1.36897
24,1.37197,1.3724,1.36636,1.3671,1.37099,1.36363,1.36625,1.37063,1.36478,1.37024,1.38178,1.36811,1.3786,1.38387,1.3786,1.38176,1.38386,1.37764,1.38098,1.38132,1.37314,1.37526,1.38259,1.37185,1.37984,1.38167,1.36533,1.36655,1.37049,1.36406,1.36887,1.36936,1.3678,1.36883,1.37091,1.35974,1.36069
25,1.3671,1.37099,1.36363,1.36625,1.37063,1.36478,1.37024,1.38178,1.36811,1.3786,1.38387,1.3786,1.38176,1.38386,1.37764,1.38098,1.38132,1.37314,1.37526,1.38259,1.37185,1.37984,1.38167,1.36533,1.36655,1.37049,1.36406,1.36887,1.36936,1.3678,1.36883,1.37091,1.35974,1.36062,1.3625,1.35238,1.35295
26,1.36625,1.37063,1.36478,1.37024,1.38178,1.36811,1.3786,1.38387,1.3786,1.38176,1.38386,1.37764,1.38098,1.38132,1.37314,1.37526,1.38259,1.37185,1.37984,1.38167,1.36533,1.36655,1.37049,1.36406,1.36887,1.36936,1.3678,1.36883,1.37091,1.35974,1.36062,1.3625,1.35238,1.353,1.35319,1.34127,1.34281
27,1.37024,1.38178,1.36811,1.3786,1.38387,1.3786,1.38176,1.38386,1.37764,1.38098,1.38132,1.37314,1.37526,1.38259,1.37185,1.37984,1.38167,1.36533,1.36655,1.37049,1.36406,1.36887,1.36936,1.3678,1.36883,1.37091,1.35974,1.36062,1.3625,1.35238,1.353,1.35319,1.34127,1.34292,1.34464,1.33594,1.34285
28,1.3786,1.38387,1.3786,1.38176,1.38386,1.37764,1.38098,1.38132,1.37314,1.37526,1.38259,1.37185,1.37984,1.38167,1.36533,1.36655,1.37049,1.36406,1.36887,1.36936,1.3678,1.36883,1.37091,1.35974,1.36062,1.3625,1.35238,1.353,1.35319,1.34127,1.34292,1.34464,1.33594,1.3425,1.3546,1.33691,1.34721
29,1.38176,1.38386,1.37764,1.38098,1.38132,1.37314,1.37526,1.38259,1.37185,1.37984,1.38167,1.36533,1.36655,1.37049,1.36406,1.36887,1.36936,1.3678,1.36883,1.37091,1.35974,1.36062,1.3625,1.35238,1.353,1.35319,1.34127,1.34292,1.34464,1.33594,1.3425,1.3546,1.33691,1.3476,1.3489,1.34705,1.34705
30,1.38098,1.38132,1.37314,1.37526,1.38259,1.37185,1.37984,1.38167,1.36533,1.36655,1.37049,1.36406,1.36887,1.36936,1.3678,1.36883,1.37091,1.35974,1.36062,1.3625,1.35238,1.353,1.35319,1.34127,1.34292,1.34464,1.33594,1.3425,1.3546,1.33691,1.3476,1.3489,1.34705,1.34734,1.35076,1.34573,1.3471
31,1.37526,1.38259,1.37185,1.37984,1.38167,1.36533,1.36655,1.37049,1.36406,1.36887,1.36936,1.3678,1.36883,1.37091,1.35974,1.36062,1.3625,1.35238,1.353,1.35319,1.34127,1.34292,1.34464,1.33594,1.3425,1.3546,1.33691,1.3476,1.3489,1.34705,1.34734,1.35076,1.34573,1.3471,1.35203,1.34485,1.34658
32,1.37984,1.38167,1.36533,1.36655,1.37049,1.36406,1.36887,1.36936,1.3678,1.36883,1.37091,1.35974,1.36062,1.3625,1.35238,1.353,1.35319,1.34127,1.34292,1.34464,1.33594,1.3425,1.3546,1.33691,1.3476,1.3489,1.34705,1.34734,1.35076,1.34573,1.3471,1.35203,1.34485,1.34635,1.35576,1.34459,1.35456
