,last open10,last high10,last low10,last open9,last high9,last low9,last open8,last high8,last low8,last open7,last high7,last low7,last open6,last high6,last low6,last open5,last high5,last low5,last open4,last high4,last low4,last open3,last high3,last low3,last open2,last high2,last low2,last open1,last high1,last low1,last open,last high,last low,Open,High,Low,Close
293,1.57787,1.58432,1.5616,1.56495,1.56495,1.54371,1.54582,1.55868,1.54507,1.55585,1.55628,1.53764,1.54456,1.54621,1.53004,1.53826,1.54126,1.53779,1.5383,1.55188,1.53433,1.54622,1.55514,1.54558,1.55156,1.55513,1.54598,1.55447,1.55863,1.54631,1.54983,1.5651,1.54878,1.56153,1.56357,1.55917,1.5602
294,1.56495,1.56495,1.54371,1.54582,1.55868,1.54507,1.55585,1.55628,1.53764,1.54456,1.54621,1.53004,1.53826,1.54126,1.53779,1.5383,1.55188,1.53433,1.54622,1.55514,1.54558,1.55156,1.55513,1.54598,1.55447,1.55863,1.54631,1.54983,1.5651,1.54878,1.56153,1.56357,1.55917,1.56006,1.56268,1.54661,1.55202
295,1.54582,1.55868,1.54507,1.55585,1.55628,1.53764,1.54456,1.54621,1.53004,1.53826,1.54126,1.53779,1.5383,1.55188,1.53433,1.54622,1.55514,1.54558,1.55156,1.55513,1.54598,1.55447,1.55863,1.54631,1.54983,1.5651,1.54878,1.56153,1.56357,1.55917,1.56006,1.56268,1.54661,1.55192,1.56216,1.54876,1.5572
296,1.55585,1.55628,1.53764,1.54456,1.54621,1.53004,1.53826,1.54126,1.53779,1.5383,1.55188,1.53433,1.54622,1.55514,1.54558,1.55156,1.55513,1.54598,1.55447,1.55863,1.54631,1.54983,1.5651,1.54878,1.56153,1.56357,1.55917,1.56006,1.56268,1.54661,1.55192,1.56216,1.54876,1.55731,1.56872,1.55335,1.56626
297,1.54456,1.54621,1.53004,1.53826,1.54126,1.53779,1.5383,1.55188,1.53433,1.54622,1.55514,1.54558,1.55156,1.55513,1.54598,1.55447,1.55863,1.54631,1.54983,1.5651,1.54878,1.56153,1.56357,1.55917,1.56006,1.56268,1.54661,1.55192,1.56216,1.54876,1.55731,1.56872,1.55335,1.56656,1.57672,1.56249,1.57593
298,1.53826,1.54126,1.53779,1.5383,1.55188,1.53433,1.54622,1.55514,1.54558,1.55156,1.55513,1.54598,1.55447,1.55863,1.54631,1.54983,1.5651,1.54878,1.56153,1.56357,1.55917,1.56006,1.56268,1.54661,1.55192,1.56216,1.54876,1.55731,1.56872,1.55335,1.56656,1.57672,1.56249,1.57587,1.57924,1.57154,1.57906
299,1.5383,1.55188,1.53433,1.54622,1.55514,1.54558,1.55156,1.55513,1.54598,1.55447,1.55863,1.54631,1.54983,1.5651,1.54878,1.56153,1.56357,1.55917,1.56006,1.56268,1.54661,1.55192,1.56216,1.54876,1.55731,1.56872,1.55335,1.56656,1.57672,1.56249,1.57587,1.57924,1.57154,1.57789,1.57979,1.57701,1.57917
300,1.54622,1.55514,1.54558,1.55156,1.55513,1.54598,1.55447,1.55863,1.54631,1.54983,1.5651,1.54878,1.56153,1.56357,1.55917,1.56006,1.56268,1.54661,1.55192,1.56216,1.54876,1.55731,1.56872,1.55335,1.56656,1.57672,1.56249,1.57587,1.57924,1.57154,1.57789,1.57979,1.57701,1.57894,1.58359,1.57271,1.57569
301,1.55156,1.55513,1.54598,1.55447,1.55863,1.54631,1.54983,1.5651,1.54878,1.56153,1.56357,1.55917,1.56006,1.56268,1.54661,1.55192,1.56216,1.54876,1.55731,1.56872,1.55335,1.56656,1.57672,1.56249,1.57587,1.57924,1.57154,1.57789,1.57979,1.57701,1.57894,1.58359,1.57271,1.57602,1.58249,1.5721,1.57872
302,1.55447,1.55863,1.54631,1.54983,1.5651,1.54878,1.56153,1.56357,1.55917,1.56006,1.56268,1.54661,1.55192,1.56216,1.54876,1.55731,1.56872,1.55335,1.56656,1.57672,1.56249,1.57587,1.57924,1.57154,1.57789,1.57979,1.57701,1.57894,1.58359,1.57271,1.57602,1.58249,1.5721,1.57871,1.58917,1.57736,1.58762
303,1.54983,1.5651,1.54878,1.56153,1.56357,1.55917,1.56006,1.56268,1.54661,1.55192,1.56216,1.54876,1.55731,1.56872,1.55335,1.56656,1.57672,1.56249,1.57587,1.57924,1.57154,1.57789,1.57979,1.57701,1.57894,1.58359,1.57271,1.57602,1.58249,1.5721,1.57871,1.58917,1.57736,1.58757,1.59117,1.56708,1.56833
304,1.56153,1.56357,1.55917,1.56006,1.56268,1.54661,1.55192,1.56216,1.54876,1.55731,1.56872,1.55335,1.56656,1.57672,1.56249,1.57587,1.57924,1.57154,1.57789,1.57979,1.57701,1.57894,1.58359,1.57271,1.57602,1.58249,1.5721,1.57871,1.58917,1.57736,1.58757,1.59117,1.56708,1.56823,1.57262,1.56524,1.57029
305,1.56006,1.56268,1.54661,1.55192,1.56216,1.54876,1.55731,1.56872,1.55335,1.56656,1.57672,1.56249,1.57587,1.57924,1.57154,1.57789,1.57979,1.57701,1.57894,1.58359,1.57271,1.57602,1.58249,1.5721,1.57871,1.58917,1.57736,1.58757,1.59117,1.56708,1.56823,1.57262,1.56524,1.57002,1.57064,1.56859,1.5693
306,1.55192,1.56216,1.54876,1.55731,1.56872,1.55335,1.56656,1.57672,1.56249,1.57587,1.57924,1.57154,1.57789,1.57979,1.57701,1.57894,1.58359,1.57271,1.57602,1.58249,1.5721,1.57871,1.58917,1.57736,1.58757,1.59117,1.56708,1.56823,1.57262,1.56524,1.57002,1.57064,1.56859,1.56917,1.57533,1.56072,1.57226
307,1.55731,1.56872,1.55335,1.56656,1.57672,1.56249,1.57587,1.57924,1.57154,1.57789,1.57979,1.57701,1.57894,1.58359,1.57271,1.57602,1.58249,1.5721,1.57871,1.58917,1.57736,1.58757,1.59117,1.56708,1.56823,1.57262,1.56524,1.57002,1.57064,1.56859,1.56917,1.57533,1.56072,1.5723,1.57392,1.56333,1.56622
308,1.56656,1.57672,1.56249,1.57587,1.57924,1.57154,1.57789,1.57979,1.57701,1.57894,1.58359,1.57271,1.57602,1.58249,1.5721,1.57871,1.58917,1.57736,1.58757,1.59117,1.56708,1.56823,1.57262,1.56524,1.57002,1.57064,1.56859,1.56917,1.57533,1.56072,1.5723,1.57392,1.56333,1.56644,1.57494,1.56472,1.57282
309,1.57587,1.57924,1.57154,1.57789,1.57979,1.57701,1.57894,1.58359,1.57271,1.57602,1.58249,1.5721,1.57871,1.58917,1.57736,1.58757,1.59117,1.56708,1.56823,1.57262,1.56524,1.57002,1.57064,1.56859,1.56917,1.57533,1.56072,1.5723,1.57392,1.56333,1.56644,1.57494,1.56472,1.57315,1.58022,1.56876,1.5785
310,1.57789,1.57979,1.57701,1.57894,1.58359,1.57271,1.57602,1.58249,1.5721,1.57871,1.58917,1.57736,1.58757,1.59117,1.56708,1.56823,1.57262,1.56524,1.57002,1.57064,1.56859,1.56917,1.57533,1.56072,1.5723,1.57392,1.56333,1.56644,1.57494,1.56472,1.57315,1.58022,1.56876,1.5791,1.59472,1.57604,1.59368
311,1.57894,1.58359,1.57271,1.57602,1.58249,1.5721,1.57871,1.58917,1.57736,1.58757,1.59117,1.56708,1.56823,1.57262,1.56524,1.57002,1.57064,1.56859,1.56917,1.57533,1.56072,1.5723,1.57392,1.56333,1.56644,1.57494,1.56472,1.57315,1.58022,1.56876,1.5791,1.59472,1.57604,1.59498,1.59709,1.58954,1.5899
312,1.57602,1.58249,1.5721,1.57871,1.58917,1.57736,1.58757,1.59117,1.56708,1.56823,1.57262,1.56524,1.57002,1.57064,1.56859,1.56917,1.57533,1.56072,1.5723,1.57392,1.56333,1.56644,1.57494,1.56472,1.57315,1.58022,1.56876,1.5791,1.59472,1.57604,1.59498,1.59709,1.58954,1.59008,1.5935,1.58392,1.58872
313,1.57871,1.58917,1.57736,1.58757,1.59117,1.56708,1.56823,1.57262,1.56524,1.57002,1.57064,1.56859,1.56917,1.57533,1.56072,1.5723,1.57392,1.56333,1.56644,1.57494,1.56472,1.57315,1.58022,1.56876,1.5791,1.59472,1.57604,1.59498,1.59709,1.58954,1.59008,1.5935,1.58392,1.58888,1.60389,1.58643,1.5915
314,1.58757,1.59117,1.56708,1.56823,1.57262,1.56524,1.57002,1.57064,1.56859,1.56917,1.57533,1.56072,1.5723,1.57392,1.56333,1.56644,1.57494,1.56472,1.57315,1.58022,1.56876,1.5791,1.59472,1.57604,1.59498,1.59709,1.58954,1.59008,1.5935,1.58392,1.58888,1.60389,1.58643,1.59157,1.59477,1.57985,1.58242
315,1.56823,1.57262,1.56524,1.57002,1.57064,1.56859,1.56917,1.57533,1.56072,1.5723,1.57392,1.56333,1.56644,1.57494,1.56472,1.57315,1.58022,1.56876,1.5791,1.59472,1.57604,1.59498,1.59709,1.58954,1.59008,1.5935,1.58392,1.58888,1.60389,1.58643,1.59157,1.59477,1.57985,1.58216,1.58929,1.57815,1.58502
316,1.57002,1.57064,1.56859,1.56917,1.57533,1.56072,1.5723,1.57392,1.56333,1.56644,1.57494,1.56472,1.57315,1.58022,1.56876,1.5791,1.59472,1.57604,1.59498,1.59709,1.58954,1.59008,1.5935,1.58392,1.58888,1.60389,1.58643,1.59157,1.59477,1.57985,1.58216,1.58929,1.57815,1.58501,1.58867,1.58035,1.58448
317,1.56917,1.57533,1.56072,1.5723,1.57392,1.56333,1.56644,1.57494,1.56472,1.57315,1.58022,1.56876,1.5791,1.59472,1.57604,1.59498,1.59709,1.58954,1.59008,1.5935,1.58392,1.58888,1.60389,1.58643,1.59157,1.59477,1.57985,1.58216,1.58929,1.57815,1.58501,1.58867,1.58035,1.58418,1.58461,1.58265,1.58422
318,1.5723,1.57392,1.56333,1.56644,1.57494,1.56472,1.57315,1.58022,1.56876,1.5791,1.59472,1.57604,1.59498,1.59709,1.58954,1.59008,1.5935,1.58392,1.58888,1.60389,1.58643,1.59157,1.59477,1.57985,1.58216,1.58929,1.57815,1.58501,1.58867,1.58035,1.58418,1.58461,1.58265,1.58424,1.59313,1.58296,1.59103
319,1.56644,1.57494,1.56472,1.57315,1.58022,1.56876,1.5791,1.59472,1.57604,1.59498,1.59709,1.58954,1.59008,1.5935,1.58392,1.58888,1.60389,1.58643,1.59157,1.59477,1.57985,1.58216,1.58929,1.57815,1.58501,1.58867,1.58035,1.58418,1.58461,1.58265,1.58424,1.59313,1.58296,1.5913,1.59442,1.57536,1.57772
320,1.57315,1.58022,1.56876,1.5791,1.59472,1.57604,1.59498,1.59709,1.58954,1.59008,1.5935,1.58392,1.58888,1.60389,1.58643,1.59157,1.59477,1.57985,1.58216,1.58929,1.57815,1.58501,1.58867,1.58035,1.58418,1.58461,1.58265,1.58424,1.59313,1.58296,1.5913,1.59442,1.57536,1.57782,1.57989,1.56664,1.56812
321,1.5791,1.59472,1.57604,1.59498,1.59709,1.58954,1.59008,1.5935,1.58392,1.58888,1.60389,1.58643,1.59157,1.59477,1.57985,1.58216,1.58929,1.57815,1.58501,1.58867,1.58035,1.58418,1.58461,1.58265,1.58424,1.59313,1.58296,1.5913,1.59442,1.57536,1.57782,1.57989,1.56664,1.56809,1.57139,1.56253,1.5683
322,1.59498,1.59709,1.58954,1.59008,1.5935,1.58392,1.58888,1.60389,1.58643,1.59157,1.59477,1.57985,1.58216,1.58929,1.57815,1.58501,1.58867,1.58035,1.58418,1.58461,1.58265,1.58424,1.59313,1.58296,1.5913,1.59442,1.57536,1.57782,1.57989,1.56664,1.56809,1.57139,1.56253,1.56831,1.57537,1.56588,1.57043
323,1.59008,1.5935,1.58392,1.58888,1.60389,1.58643,1.59157,1.59477,1.57985,1.58216,1.58929,1.57815,1.58501,1.58867,1.58035,1.58418,1.58461,1.58265,1.58424,1.59313,1.58296,1.5913,1.59442,1.57536,1.57782,1.57989,1.56664,1.56809,1.57139,1.56253,1.56831,1.57537,1.56588,1.57047,1.57067,1.56801,1.56896
324,1.58888,1.60389,1.58643,1.59157,1.59477,1.57985,1.58216,1.58929,1.57815,1.58501,1.58867,1.58035,1.58418,1.58461,1.58265,1.58424,1.59313,1.58296,1.5913,1.59442,1.57536,1.57782,1.57989,1.56664,1.56809,1.57139,1.56253,1.56831,1.57537,1.56588,1.57047,1.57067,1.56801,1.56909,1.57683,1.56809,1.57422
325,1.59157,1.59477,1.57985,1.58216,1.58929,1.57815,1.58501,1.58867,1.58035,1.58418,1.58461,1.58265,1.58424,1.59313,1.58296,1.5913,1.59442,1.57536,1.57782,1.57989,1.56664,1.56809,1.57139,1.56253,1.56831,1.57537,1.56588,1.57047,1.57067,1.56801,1.56909,1.57683,1.56809,1.57434,1.57573,1.55493,1.55882
326,1.58216,1.58929,1.57815,1.58501,1.58867,1.58035,1.58418,1.58461,1.58265,1.58424,1.59313,1.58296,1.5913,1.59442,1.57536,1.57782,1.57989,1.56664,1.56809,1.57139,1.56253,1.56831,1.57537,1.56588,1.57047,1.57067,1.56801,1.56909,1.57683,1.56809,1.57434,1.57573,1.55493,1.55877,1.56166,1.55183,1.55805
327,1.58501,1.58867,1.58035,1.58418,1.58461,1.58265,1.58424,1.59313,1.58296,1.5913,1.59442,1.57536,1.57782,1.57989,1.56664,1.56809,1.57139,1.56253,1.56831,1.57537,1.56588,1.57047,1.57067,1.56801,1.56909,1.57683,1.56809,1.57434,1.57573,1.55493,1.55877,1.56166,1.55183,1.55793,1.56995,1.55658,1.55828
328,1.58418,1.58461,1.58265,1.58424,1.59313,1.58296,1.5913,1.59442,1.57536,1.57782,1.57989,1.56664,1.56809,1.57139,1.56253,1.56831,1.57537,1.56588,1.57047,1.57067,1.56801,1.56909,1.57683,1.56809,1.57434,1.57573,1.55493,1.55877,1.56166,1.55183,1.55793,1.56995,1.55658,1.55825,1.55886,1.55142,1.55609
329,1.58424,1.59313,1.58296,1.5913,1.59442,1.57536,1.57782,1.57989,1.56664,1.56809,1.57139,1.56253,1.56831,1.57537,1.56588,1.57047,1.57067,1.56801,1.56909,1.57683,1.56809,1.57434,1.57573,1.55493,1.55877,1.56166,1.55183,1.55793,1.56995,1.55658,1.55825,1.55886,1.55142,1.55638,1.5579,1.55586,1.55658
330,1.5913,1.59442,1.57536,1.57782,1.57989,1.56664,1.56809,1.57139,1.56253,1.56831,1.57537,1.56588,1.57047,1.57067,1.56801,1.56909,1.57683,1.56809,1.57434,1.57573,1.55493,1.55877,1.56166,1.55183,1.55793,1.56995,1.55658,1.55825,1.55886,1.55142,1.55638,1.5579,1.55586,1.55662,1.56306,1.55526,1.55638
331,1.57782,1.57989,1.56664,1.56809,1.57139,1.56253,1.56831,1.57537,1.56588,1.57047,1.57067,1.56801,1.56909,1.57683,1.56809,1.57434,1.57573,1.55493,1.55877,1.56166,1.55183,1.55793,1.56995,1.55658,1.55825,1.55886,1.55142,1.55638,1.5579,1.55586,1.55662,1.56306,1.55526,1.55624,1.55646,1.54442,1.5464
332,1.56809,1.57139,1.56253,1.56831,1.57537,1.56588,1.57047,1.57067,1.56801,1.56909,1.57683,1.56809,1.57434,1.57573,1.55493,1.55877,1.56166,1.55183,1.55793,1.56995,1.55658,1.55825,1.55886,1.55142,1.55638,1.5579,1.55586,1.55662,1.56306,1.55526,1.55624,1.55646,1.54442,1.5465,1.55167,1.53956,1.54195
333,1.56831,1.57537,1.56588,1.57047,1.57067,1.56801,1.56909,1.57683,1.56809,1.57434,1.57573,1.55493,1.55877,1.56166,1.55183,1.55793,1.56995,1.55658,1.55825,1.55886,1.55142,1.55638,1.5579,1.55586,1.55662,1.56306,1.55526,1.55624,1.55646,1.54442,1.5465,1.55167,1.53956,1.54205,1.55019,1.53068,1.53109
334,1.57047,1.57067,1.56801,1.56909,1.57683,1.56809,1.57434,1.57573,1.55493,1.55877,1.56166,1.55183,1.55793,1.56995,1.55658,1.55825,1.55886,1.55142,1.55638,1.5579,1.55586,1.55662,1.56306,1.55526,1.55624,1.55646,1.54442,1.5465,1.55167,1.53956,1.54205,1.55019,1.53068,1.53117,1.53128,1.4993,1.50032
335,1.56909,1.57683,1.56809,1.57434,1.57573,1.55493,1.55877,1.56166,1.55183,1.55793,1.56995,1.55658,1.55825,1.55886,1.55142,1.55638,1.5579,1.55586,1.55662,1.56306,1.55526,1.55624,1.55646,1.54442,1.5465,1.55167,1.53956,1.54205,1.55019,1.53068,1.53117,1.53128,1.4993,1.5,1.5,1.49026,1.49321
336,1.57434,1.57573,1.55493,1.55877,1.56166,1.55183,1.55793,1.56995,1.55658,1.55825,1.55886,1.55142,1.55638,1.5579,1.55586,1.55662,1.56306,1.55526,1.55624,1.55646,1.54442,1.5465,1.55167,1.53956,1.54205,1.55019,1.53068,1.53117,1.53128,1.4993,1.5,1.5,1.49026,1.49333,1.50835,1.48786,1.49121
337,1.55877,1.56166,1.55183,1.55793,1.56995,1.55658,1.55825,1.55886,1.55142,1.55638,1.5579,1.55586,1.55662,1.56306,1.55526,1.55624,1.55646,1.54442,1.5465,1.55167,1.53956,1.54205,1.55019,1.53068,1.53117,1.53128,1.4993,1.5,1.5,1.49026,1.49333,1.50835,1.48786,1.49117,1.49646,1.48112,1.48911
338,1.55793,1.56995,1.55658,1.55825,1.55886,1.55142,1.55638,1.5579,1.55586,1.55662,1.56306,1.55526,1.55624,1.55646,1.54442,1.5465,1.55167,1.53956,1.54205,1.55019,1.53068,1.53117,1.53128,1.4993,1.5,1.5,1.49026,1.49333,1.50835,1.48786,1.49117,1.49646,1.48112,1.48891,1.49796,1.48397,1.48963
339,1.55825,1.55886,1.55142,1.55638,1.5579,1.55586,1.55662,1.56306,1.55526,1.55624,1.55646,1.54442,1.5465,1.55167,1.53956,1.54205,1.55019,1.53068,1.53117,1.53128,1.4993,1.5,1.5,1.49026,1.49333,1.50835,1.48786,1.49117,1.49646,1.48112,1.48891,1.49796,1.48397,1.48968,1.49499,1.47572,1.47726
340,1.55638,1.5579,1.55586,1.55662,1.56306,1.55526,1.55624,1.55646,1.54442,1.5465,1.55167,1.53956,1.54205,1.55019,1.53068,1.53117,1.53128,1.4993,1.5,1.5,1.49026,1.49333,1.50835,1.48786,1.49117,1.49646,1.48112,1.48891,1.49796,1.48397,1.48968,1.49499,1.47572,1.47727,1.47928,1.46554,1.46856
341,1.55662,1.56306,1.55526,1.55624,1.55646,1.54442,1.5465,1.55167,1.53956,1.54205,1.55019,1.53068,1.53117,1.53128,1.4993,1.5,1.5,1.49026,1.49333,1.50835,1.48786,1.49117,1.49646,1.48112,1.48891,1.49796,1.48397,1.48968,1.49499,1.47572,1.47727,1.47928,1.46554,1.46988,1.47009,1.4696,1.4699
342,1.55624,1.55646,1.54442,1.5465,1.55167,1.53956,1.54205,1.55019,1.53068,1.53117,1.53128,1.4993,1.5,1.5,1.49026,1.49333,1.50835,1.48786,1.49117,1.49646,1.48112,1.48891,1.49796,1.48397,1.48968,1.49499,1.47572,1.47727,1.47928,1.46554,1.46988,1.47009,1.4696,1.46976,1.47679,1.4666,1.46944
343,1.5465,1.55167,1.53956,1.54205,1.55019,1.53068,1.53117,1.53128,1.4993,1.5,1.5,1.49026,1.49333,1.50835,1.48786,1.49117,1.49646,1.48112,1.48891,1.49796,1.48397,1.48968,1.49499,1.47572,1.47727,1.47928,1.46554,1.46988,1.47009,1.4696,1.46976,1.47679,1.4666,1.4694,1.48043,1.46272,1.47914
344,1.54205,1.55019,1.53068,1.53117,1.53128,1.4993,1.5,1.5,1.49026,1.49333,1.50835,1.48786,1.49117,1.49646,1.48112,1.48891,1.49796,1.48397,1.48968,1.49499,1.47572,1.47727,1.47928,1.46554,1.46988,1.47009,1.4696,1.46976,1.47679,1.4666,1.4694,1.48043,1.46272,1.47911,1.47985,1.46685,1.47499
345,1.53117,1.53128,1.4993,1.5,1.5,1.49026,1.49333,1.50835,1.48786,1.49117,1.49646,1.48112,1.48891,1.49796,1.48397,1.48968,1.49499,1.47572,1.47727,1.47928,1.46554,1.46988,1.47009,1.4696,1.46976,1.47679,1.4666,1.4694,1.48043,1.46272,1.47911,1.47985,1.46685,1.4749,1.49078,1.47398,1.4887
346,1.5,1.5,1.49026,1.49333,1.50835,1.48786,1.49117,1.49646,1.48112,1.48891,1.49796,1.48397,1.48968,1.49499,1.47572,1.47727,1.47928,1.46554,1.46988,1.47009,1.4696,1.46976,1.47679,1.4666,1.4694,1.48043,1.46272,1.47911,1.47985,1.46685,1.4749,1.49078,1.47398,1.48851,1.48949,1.47568,1.47909
347,1.49333,1.50835,1.48786,1.49117,1.49646,1.48112,1.48891,1.49796,1.48397,1.48968,1.49499,1.47572,1.47727,1.47928,1.46554,1.46988,1.47009,1.4696,1.46976,1.47679,1.4666,1.4694,1.48043,1.46272,1.47911,1.47985,1.46685,1.4749,1.49078,1.47398,1.48851,1.48949,1.47568,1.47803,1.47901,1.47737,1.47805
348,1.49117,1.49646,1.48112,1.48891,1.49796,1.48397,1.48968,1.49499,1.47572,1.47727,1.47928,1.46554,1.46988,1.47009,1.4696,1.46976,1.47679,1.4666,1.4694,1.48043,1.46272,1.47911,1.47985,1.46685,1.4749,1.49078,1.47398,1.48851,1.48949,1.47568,1.47803,1.47901,1.47737,1.4781,1.48067,1.46921,1.47242
349,1.48891,1.49796,1.48397,1.48968,1.49499,1.47572,1.47727,1.47928,1.46554,1.46988,1.47009,1.4696,1.46976,1.47679,1.4666,1.4694,1.48043,1.46272,1.47911,1.47985,1.46685,1.4749,1.49078,1.47398,1.48851,1.48949,1.47568,1.47803,1.47901,1.47737,1.4781,1.48067,1.46921,1.4725,1.47269,1.45655,1.46429
350,1.48968,1.49499,1.47572,1.47727,1.47928,1.46554,1.46988,1.47009,1.4696,1.46976,1.47679,1.4666,1.4694,1.48043,1.46272,1.47911,1.47985,1.46685,1.4749,1.49078,1.47398,1.48851,1.48949,1.47568,1.47803,1.47901,1.47737,1.4781,1.48067,1.46921,1.4725,1.47269,1.45655,1.46437,1.47761,1.46419,1.4743
351,1.47727,1.47928,1.46554,1.46988,1.47009,1.4696,1.46976,1.47679,1.4666,1.4694,1.48043,1.46272,1.47911,1.47985,1.46685,1.4749,1.49078,1.47398,1.48851,1.48949,1.47568,1.47803,1.47901,1.47737,1.4781,1.48067,1.46921,1.4725,1.47269,1.45655,1.46437,1.47761,1.46419,1.47462,1.48103,1.46691,1.47013
352,1.46988,1.47009,1.4696,1.46976,1.47679,1.4666,1.4694,1.48043,1.46272,1.47911,1.47985,1.46685,1.4749,1.49078,1.47398,1.48851,1.48949,1.47568,1.47803,1.47901,1.47737,1.4781,1.48067,1.46921,1.4725,1.47269,1.45655,1.46437,1.47761,1.46419,1.47462,1.48103,1.46691,1.47026,1.47674,1.46368,1.46714
353,1.46976,1.47679,1.4666,1.4694,1.48043,1.46272,1.47911,1.47985,1.46685,1.4749,1.49078,1.47398,1.48851,1.48949,1.47568,1.47803,1.47901,1.47737,1.4781,1.48067,1.46921,1.4725,1.47269,1.45655,1.46437,1.47761,1.46419,1.47462,1.48103,1.46691,1.47026,1.47674,1.46368,1.46748,1.47198,1.46748,1.46959
354,1.4694,1.48043,1.46272,1.47911,1.47985,1.46685,1.4749,1.49078,1.47398,1.48851,1.48949,1.47568,1.47803,1.47901,1.47737,1.4781,1.48067,1.46921,1.4725,1.47269,1.45655,1.46437,1.47761,1.46419,1.47462,1.48103,1.46691,1.47026,1.47674,1.46368,1.46748,1.47198,1.46748,1.46962,1.47029,1.45543,1.4581
355,1.47911,1.47985,1.46685,1.4749,1.49078,1.47398,1.48851,1.48949,1.47568,1.47803,1.47901,1.47737,1.4781,1.48067,1.46921,1.4725,1.47269,1.45655,1.46437,1.47761,1.46419,1.47462,1.48103,1.46691,1.47026,1.47674,1.46368,1.46748,1.47198,1.46748,1.46962,1.47029,1.45543,1.45808,1.45981,1.44626,1.44873
356,1.4749,1.49078,1.47398,1.48851,1.48949,1.47568,1.47803,1.47901,1.47737,1.4781,1.48067,1.46921,1.4725,1.47269,1.45655,1.46437,1.47761,1.46419,1.47462,1.48103,1.46691,1.47026,1.47674,1.46368,1.46748,1.47198,1.46748,1.46962,1.47029,1.45543,1.45808,1.45981,1.44626,1.44866,1.45219,1.43811,1.45129
357,1.48851,1.48949,1.47568,1.47803,1.47901,1.47737,1.4781,1.48067,1.46921,1.4725,1.47269,1.45655,1.46437,1.47761,1.46419,1.47462,1.48103,1.46691,1.47026,1.47674,1.46368,1.46748,1.47198,1.46748,1.46962,1.47029,1.45543,1.45808,1.45981,1.44626,1.44866,1.45219,1.43811,1.45134,1.45438,1.42108,1.42572
358,1.47803,1.47901,1.47737,1.4781,1.48067,1.46921,1.4725,1.47269,1.45655,1.46437,1.47761,1.46419,1.47462,1.48103,1.46691,1.47026,1.47674,1.46368,1.46748,1.47198,1.46748,1.46962,1.47029,1.45543,1.45808,1.45981,1.44626,1.44866,1.45219,1.43811,1.45134,1.45438,1.42108,1.42574,1.43462,1.41957,1.42666
359,1.4781,1.48067,1.46921,1.4725,1.47269,1.45655,1.46437,1.47761,1.46419,1.47462,1.48103,1.46691,1.47026,1.47674,1.46368,1.46748,1.47198,1.46748,1.46962,1.47029,1.45543,1.45808,1.45981,1.44626,1.44866,1.45219,1.43811,1.45134,1.45438,1.42108,1.42574,1.43462,1.41957,1.42658,1.43986,1.42658,1.43524
360,1.4725,1.47269,1.45655,1.46437,1.47761,1.46419,1.47462,1.48103,1.46691,1.47026,1.47674,1.46368,1.46748,1.47198,1.46748,1.46962,1.47029,1.45543,1.45808,1.45981,1.44626,1.44866,1.45219,1.43811,1.45134,1.45438,1.42108,1.42574,1.43462,1.41957,1.42658,1.43986,1.42658,1.4351,1.4428,1.40516,1.4133
361,1.46437,1.47761,1.46419,1.47462,1.48103,1.46691,1.47026,1.47674,1.46368,1.46748,1.47198,1.46748,1.46962,1.47029,1.45543,1.45808,1.45981,1.44626,1.44866,1.45219,1.43811,1.45134,1.45438,1.42108,1.42574,1.43462,1.41957,1.42658,1.43986,1.42658,1.4351,1.4428,1.40516,1.41335,1.42267,1.40435,1.40919
362,1.47462,1.48103,1.46691,1.47026,1.47674,1.46368,1.46748,1.47198,1.46748,1.46962,1.47029,1.45543,1.45808,1.45981,1.44626,1.44866,1.45219,1.43811,1.45134,1.45438,1.42108,1.42574,1.43462,1.41957,1.42658,1.43986,1.42658,1.4351,1.4428,1.40516,1.41335,1.42267,1.40435,1.40922,1.41796,1.39332,1.39359
363,1.47026,1.47674,1.46368,1.46748,1.47198,1.46748,1.46962,1.47029,1.45543,1.45808,1.45981,1.44626,1.44866,1.45219,1.43811,1.45134,1.45438,1.42108,1.42574,1.43462,1.41957,1.42658,1.43986,1.42658,1.4351,1.4428,1.40516,1.41335,1.42267,1.40435,1.40922,1.41796,1.39332,1.39351,1.4038,1.38778,1.40064
364,1.46748,1.47198,1.46748,1.46962,1.47029,1.45543,1.45808,1.45981,1.44626,1.44866,1.45219,1.43811,1.45134,1.45438,1.42108,1.42574,1.43462,1.41957,1.42658,1.43986,1.42658,1.4351,1.4428,1.40516,1.41335,1.42267,1.40435,1.40922,1.41796,1.39332,1.39351,1.4038,1.38778,1.40081,1.42325,1.39683,1.42204
365,1.46962,1.47029,1.45543,1.45808,1.45981,1.44626,1.44866,1.45219,1.43811,1.45134,1.45438,1.42108,1.42574,1.43462,1.41957,1.42658,1.43986,1.42658,1.4351,1.4428,1.40516,1.41335,1.42267,1.40435,1.40922,1.41796,1.39332,1.39351,1.4038,1.38778,1.40081,1.42325,1.39683,1.42253,1.43488,1.42253,1.43163
366,1.45808,1.45981,1.44626,1.44866,1.45219,1.43811,1.45134,1.45438,1.42108,1.42574,1.43462,1.41957,1.42658,1.43986,1.42658,1.4351,1.4428,1.40516,1.41335,1.42267,1.40435,1.40922,1.41796,1.39332,1.39351,1.4038,1.38778,1.40081,1.42325,1.39683,1.42253,1.43488,1.42253,1.43164,1.44821,1.4082,1.42425
